Country,Clicks,Impressions,CTR,Position
Italy,11,389,2.83%,8.02
United States,1,108,0.93%,7.53
Germany,1,33,3.03%,8.48
United Kingdom,1,27,3.7%,7.52
Austria,1,8,12.5%,6.38
Netherlands,0,48,0%,7.5
Spain,0,14,0%,12.07
France,0,12,0%,7.83
Czechia,0,7,0%,6.29
Canada,0,7,0%,7.29
Belgium,0,7,0%,9.71
Poland,0,6,0%,7.33
Switzerland,0,5,0%,6.4
Romania,0,5,0%,7.6
Greece,0,5,0%,9.4
India,0,4,0%,30
Costa Rica,0,3,0%,8
Sweden,0,3,0%,8
Hungary,0,3,0%,8.33
Bangladesh,0,3,0%,9.67
Latvia,0,3,0%,11.33
Slovakia,0,3,0%,11.67
Finland,0,2,0%,6.5
Australia,0,2,0%,8.5
Malta,0,2,0%,9.5
Croatia,0,2,0%,10
Philippines,0,2,0%,13.5
Pakistan,0,1,0%,1
Ukraine,0,1,0%,1
Azerbaijan,0,1,0%,6
Ireland,0,1,0%,6
Peru,0,1,0%,6
Argentina,0,1,0%,7
Israel,0,1,0%,7
Nepal,0,1,0%,8
Uzbekistan,0,1,0%,8
Brazil,0,1,0%,9
Faroe Islands,0,1,0%,9
Mexico,0,1,0%,10
Bulgaria,0,1,0%,11
Albania,0,1,0%,12
Serbia,0,1,0%,12
Norway,0,1,0%,13
