Date,Not indexed,Indexed,Impressions
2026-05-03,,,29
2026-05-04,13,57,23
2026-05-05,14,58,72
2026-05-06,14,58,84
2026-05-07,14,58,67
2026-05-08,14,58,72
2026-05-09,15,64,76
2026-05-10,15,64,93
2026-05-11,15,64,102
2026-05-12,31,66,107
2026-05-13,31,66,74
2026-05-14,31,66,72
2026-05-15,31,66,91
2026-05-16,27,75,80
2026-05-17,27,75,113
2026-05-18,27,75,87
2026-05-19,24,92,125
2026-05-20,24,92,170
2026-05-21,24,92,139
2026-05-22,24,92,210
2026-05-23,27,89,152
2026-05-24,27,89,203
2026-05-25,27,89,135
2026-05-26,27,98,156
2026-05-27,27,98,126
2026-05-28,27,98,153
2026-05-29,27,98,160
2026-05-30,29,96,183
2026-05-31,29,96,158
2026-06-01,29,96,156
2026-06-02,33,92,142
2026-06-03,33,92,68
2026-06-04,33,92,88
2026-06-05,33,92,69
2026-06-06,34,93,51
2026-06-07,34,93,64
2026-06-08,34,93,74
2026-06-09,39,90,66
2026-06-10,39,90,77
2026-06-11,39,90,40
2026-06-12,39,90,62
2026-06-13,68,63,58
2026-06-14,68,63,72
2026-06-15,68,63,75
2026-06-16,68,63,77
2026-06-17,68,63,88
2026-06-18,68,63,62
2026-06-19,68,63,41
2026-06-20,68,63,72
2026-06-21,68,63,79
2026-06-22,68,63,64
2026-06-23,68,63,61
2026-06-24,68,63,109
2026-06-25,68,63,73
2026-06-26,68,63,52
2026-06-27,68,63,87
2026-06-28,68,63,94
2026-06-29,68,63,62
2026-06-30,68,63,93
2026-07-01,93,38,86
2026-07-02,93,38,144
2026-07-03,93,38,98
2026-07-04,93,38,82
2026-07-05,93,38,91
2026-07-06,93,38,85
2026-07-07,93,38,85
2026-07-08,93,38,80
2026-07-09,93,38,86
2026-07-10,93,38,78
2026-07-11,105,26,99
2026-07-12,105,26,74
2026-07-13,105,26,74
2026-07-14,105,26,100
2026-07-15,105,26,74
2026-07-16,105,26,74
2026-07-17,105,26,78
2026-07-18,105,26,65
2026-07-19,105,26,53
2026-07-20,105,26,32
2026-07-21,105,26,35
2026-07-22,105,26,35
2026-07-23,105,26,27
2026-07-24,105,26,29
