Date,Clicks,Impressions,CTR,Position
2026-06-22,3,69,4.35%,8.6
2026-06-23,2,64,3.12%,7.3
2026-06-24,5,121,4.13%,7.4
2026-06-25,2,81,2.47%,10.4
2026-06-26,0,59,0%,9.3
2026-06-27,0,103,0%,6.9
2026-06-28,3,129,2.33%,7.8
2026-06-29,0,103,0%,8.3
2026-06-30,2,129,1.55%,9.6
2026-07-01,0,125,0%,10.8
2026-07-02,3,208,1.44%,14.8
2026-07-03,4,138,2.9%,9.5
2026-07-04,2,137,1.46%,9.3
2026-07-05,1,212,0.47%,10.1
2026-07-06,2,207,0.97%,8.8
2026-07-07,4,185,2.16%,9.6
2026-07-08,1,190,0.53%,9.6
2026-07-09,2,184,1.09%,10.4
2026-07-10,0,201,0%,9.6
2026-07-11,3,246,1.22%,9.8
2026-07-12,6,201,2.99%,9.6
2026-07-13,1,221,0.45%,9.3
2026-07-14,5,222,2.25%,9.2
2026-07-15,3,201,1.49%,9.5
2026-07-16,7,201,3.48%,8.9
2026-07-17,7,250,2.8%,9.1
2026-07-18,1,283,0.35%,9.1
2026-07-19,7,323,2.17%,9.2
2026-07-20,4,272,1.47%,9.3
2026-07-21,5,324,1.54%,9
2026-07-22,1,290,0.34%,8.3
2026-07-23,7,315,2.22%,8.7
2026-07-24,5,318,1.57%,9
2026-07-25,5,342,1.46%,9
2026-07-26,3,397,0.76%,9.5
2026-07-27,3,360,0.83%,8.8
2026-07-28,4,305,1.31%,8.9
2026-07-29,2,317,0.63%,9.2
