Country,Clicks,Impressions,CTR,Position
Italy,86,5800,1.48%,9.47
Spain,6,102,5.88%,8.52
United States,3,403,0.74%,8.49
Germany,3,289,1.04%,8.37
United Kingdom,3,183,1.64%,8.2
Austria,3,44,6.82%,7.61
France,2,147,1.36%,8.47
Malta,2,11,18.18%,9
Netherlands,1,294,0.34%,7.59
Canada,1,53,1.89%,9.13
Czechia,1,40,2.5%,7.55
Romania,1,35,2.86%,8.43
India,1,23,4.35%,21.48
Denmark,1,17,5.88%,9.82
Finland,1,10,10%,6.2
Belgium,0,90,0%,9.49
Switzerland,0,60,0%,8.58
Poland,0,46,0%,8.89
Sweden,0,40,0%,9.05
Australia,0,27,0%,7.48
Greece,0,23,0%,9.61
Slovakia,0,19,0%,8.58
Ireland,0,18,0%,7.78
Portugal,0,14,0%,6.5
Hungary,0,14,0%,9.93
Croatia,0,13,0%,9.77
Brazil,0,11,0%,12.45
Lithuania,0,10,0%,8.8
Vietnam,0,10,0%,18.1
Israel,0,9,0%,6.56
Norway,0,9,0%,9.22
Luxembourg,0,8,0%,8.75
Bulgaria,0,8,0%,9
Argentina,0,7,0%,8.43
Turkey,0,7,0%,15.14
Russia,0,7,0%,24.43
Mexico,0,6,0%,11.33
South Korea,0,6,0%,12.67
Lebanon,0,5,0%,7.8
Albania,0,5,0%,8
Serbia,0,5,0%,8
Slovenia,0,5,0%,9
Singapore,0,5,0%,9.8
Iran,0,5,0%,10.8
Philippines,0,5,0%,19
Peru,0,4,0%,7.5
Costa Rica,0,4,0%,9.25
Bangladesh,0,4,0%,9.5
Latvia,0,4,0%,11
Morocco,0,4,0%,17.25
Egypt,0,4,0%,22.5
Algeria,0,4,0%,25.25
Japan,0,3,0%,7.67
Taiwan,0,3,0%,10
New Zealand,0,3,0%,11.33
Venezuela,0,3,0%,12.67
Malaysia,0,3,0%,14.67
Saudi Arabia,0,3,0%,18
Ukraine,0,2,0%,1.5
United Arab Emirates,0,2,0%,4.5
Macedonia,0,2,0%,5.5
Thailand,0,2,0%,8.5
Pakistan,0,2,0%,9
Montenegro,0,2,0%,9.5
Nigeria,0,2,0%,9.5
San Marino,0,2,0%,10
Hong Kong,0,2,0%,10.5
Bosnia & Herzegovina,0,2,0%,11
Indonesia,0,2,0%,33
Guatemala,0,1,0%,1
Uganda,0,1,0%,2
South Africa,0,1,0%,4
Azerbaijan,0,1,0%,6
Belarus,0,1,0%,7
Guernsey,0,1,0%,7
Chile,0,1,0%,8
Nepal,0,1,0%,8
Uzbekistan,0,1,0%,8
Faroe Islands,0,1,0%,9
Palestine,0,1,0%,9
Qatar,0,1,0%,9
Iraq,0,1,0%,10
Zimbabwe,0,1,0%,11
Dominican Republic,0,1,0%,12
Jordan,0,1,0%,33
Colombia,0,1,0%,46
